kamera1;kamera2;kamera1_koord;kamera2_koord
F10;F35;46.437667890627, 16.747927021544;46.058445164555, 17.448098903741
F10;F36;46.437667890627, 16.747927021544;46.702458506694, 16.788524126318
F10;F37;46.437667890627, 16.747927021544;47.635056880418, 16.652330516763
F10;F38;46.437667890627, 16.747927021544;46.811901582638, 16.565857119342
F10;F39;46.437667890627, 16.747927021544;47.288863417887, 16.610039047667
F10;F40;46.437667890627, 16.747927021544;47.245496499058, 16.534248410882
F10;F41;46.437667890627, 16.747927021544;47.910361887547, 17.251715607309
F10;F45BJ;46.437667890627, 16.747927021544;47.11432337191, 17.848645761646
F10;F46B;46.437667890627, 16.747927021544;47.653403571486, 17.416396700878
F10;F47B;46.437667890627, 16.747927021544;47.297160417543, 16.832093255331
F10;F47J;46.437667890627, 16.747927021544;47.297002459483, 16.831835285078
F10;F9;46.437667890627, 16.747927021544;45.967191886124, 17.524083222114
F10;Gy15J;46.437667890627, 16.747927021544;46.866126652938, 19.645370179317
F10;Gy19B;46.437667890627, 16.747927021544;46.445983362048, 18.706391141658
F10;Gy19J;46.437667890627, 16.747927021544;46.445546354166, 18.706516762083
F10;Gy20B;46.437667890627, 16.747927021544;46.063865148399, 18.579774412582
F10;Gy20J;46.437667890627, 16.747927021544;46.063700607621, 18.579535592077
F10;Gy22B;46.437667890627, 16.747927021544;47.031256467729, 18.270258885827
F10;Gy23B;46.437667890627, 16.747927021544;46.810132410668, 17.83695083105
F10;Gy23J;46.437667890627, 16.747927021544;46.881273600414, 17.985593118956
F10;Gy24B;46.437667890627, 16.747927021544;46.682081838166, 17.370049702348
F10;Gy24J;46.437667890627, 16.747927021544;46.685347295949, 17.387656451782
F10;Gy25B;46.437667890627, 16.747927021544;46.44171667261, 16.810656899812
F10;Gy25J;46.437667890627, 16.747927021544;46.441965611122, 16.811198315858
F10;Gy26J;46.437667890627, 16.747927021544;46.908565366842, 18.939424208168
F10;Gy27J;46.437667890627, 16.747927021544;46.351813245779, 18.886396647804
F10;Gy28B;46.437667890627, 16.747927021544;47.246161, 18.649078
F10;Gy32J;46.437667890627, 16.747927021544;47.362003, 19.222118
F10;Gy34J;46.437667890627, 16.747927021544;47.9105799674, 17.1336359154
F10;Gy36B;46.437667890627, 16.747927021544;46.5109208466, 16.5523413490
F10;Gy36J;46.437667890627, 16.747927021544;46.5110973558, 16.5519989224
F10;Gy4B;46.437667890627, 16.747927021544;47.878391089477, 17.202565947927
F11;F1;46.974156304231, 16.379539316509;47.736861467104, 18.369289524965
