kamera1;kamera2;kamera1_koord;kamera2_koord
F30;F29;46.803526155586, 18.928004380753;47.857086975049, 22.637265932974
F30;F3;46.803526155586, 18.928004380753;47.884396938888, 17.241676802774
F30;F30;46.803526155586, 18.928004380753;46.803526155586, 18.928004380753
F30;F31;46.803526155586, 18.928004380753;46.263345770897, 19.533663359931
F30;F32;46.803526155586, 18.928004380753;46.201513590529, 18.820681199919
F30;F33;46.803526155586, 18.928004380753;45.971233620929, 18.673734618994
F30;F34;46.803526155586, 18.928004380753;45.8784138959, 18.236275560019
F30;F35;46.803526155586, 18.928004380753;46.058445164555, 17.448098903741
F30;F36;46.803526155586, 18.928004380753;46.702458506694, 16.788524126318
F30;F37;46.803526155586, 18.928004380753;47.635056880418, 16.652330516763
F30;F4;46.803526155586, 18.928004380753;47.934507652422, 19.139606641347
F30;F40;46.803526155586, 18.928004380753;47.245496499058, 16.534248410882
F30;F41;46.803526155586, 18.928004380753;47.910361887547, 17.251715607309
F30;F43;46.803526155586, 18.928004380753;46.683815901125, 20.183667378285
F30;F45BJ;46.803526155586, 18.928004380753;47.11432337191, 17.848645761646
F30;F46B;46.803526155586, 18.928004380753;47.653403571486, 17.416396700878
F30;F46J;46.803526155586, 18.928004380753;47.653506839605, 17.416740354468
F30;F47B;46.803526155586, 18.928004380753;47.297160417543, 16.832093255331
F30;F47J;46.803526155586, 18.928004380753;47.297002459483, 16.831835285078
F30;F51;46.803526155586, 18.928004380753;48.0794121975, 19.3191435939
F30;F54;46.803526155586, 18.928004380753;47.3000376989, 21.5558389074
F30;F55;46.803526155586, 18.928004380753;47.3981145129, 19.3601850460
F30;F58;46.803526155586, 18.928004380753;47.348734, 19.120951
F30;F59;46.803526155586, 18.928004380753;47.142844, 18.531573
F30;F6;46.803526155586, 18.928004380753;47.152434273387, 20.196192733715
F30;F7;46.803526155586, 18.928004380753;48.343852343168, 22.129595653448
F30;F8;46.803526155586, 18.928004380753;46.231269471029, 20.081542735727
F30;F9;46.803526155586, 18.928004380753;45.967191886124, 17.524083222114
F30;Gy10B;46.803526155586, 18.928004380753;48.050402819184, 20.851648270691
F30;Gy10J;46.803526155586, 18.928004380753;48.048597304585, 20.852645963515
F30;Gy11B;46.803526155586, 18.928004380753;47.618814282026, 21.517286368554
F30;Gy11J;46.803526155586, 18.928004380753;47.61860051674, 21.517389377156
F30;Gy12B;46.803526155586, 18.928004380753;46.28526689547, 20.25356092992
F30;Gy13B;46.803526155586, 18.928004380753;47.310577659191, 19.2720015943
F30;Gy13J;46.803526155586, 18.928004380753;47.310726596496, 19.271736511801
F30;Gy14B;46.803526155586, 18.928004380753;47.018953622415, 19.59270077956
F30;Gy14J;46.803526155586, 18.928004380753;47.018760105536, 19.59289269823
F30;Gy15B;46.803526155586, 18.928004380753;46.866126652938, 19.645370179317
F30;Gy15J;46.803526155586, 18.928004380753;46.866126652938, 19.645370179317
F30;Gy16B;46.803526155586, 18.928004380753;46.254056752729, 20.037780560567
F30;Gy16J;46.803526155586, 18.928004380753;46.254289780273, 20.037809455218
F30;Gy17B;46.803526155586, 18.928004380753;47.354805101314, 18.903312087371
F30;Gy17J;46.803526155586, 18.928004380753;47.354584280523, 18.903248756673
F30;Gy18B;46.803526155586, 18.928004380753;47.062438439262, 18.883476038175
F30;Gy18J;46.803526155586, 18.928004380753;47.062224216813, 18.883576090608
F30;Gy19B;46.803526155586, 18.928004380753;46.445983362048, 18.706391141658
F30;Gy19J;46.803526155586, 18.928004380753;46.445546354166, 18.706516762083
F30;Gy1B;46.803526155586, 18.928004380753;47.474802619374, 18.852435494437
F30;Gy1J;46.803526155586, 18.928004380753;47.471964836026, 18.858080126141
F30;Gy20B;46.803526155586, 18.928004380753;46.063865148399, 18.579774412582
F30;Gy20J;46.803526155586, 18.928004380753;46.063700607621, 18.579535592077
F30;Gy21B;46.803526155586, 18.928004380753;47.423027828361, 18.886551751725
F30;Gy21J;46.803526155586, 18.928004380753;47.343748133722, 18.791711071512
F30;Gy22B;46.803526155586, 18.928004380753;47.031256467729, 18.270258885827
F30;Gy22J;46.803526155586, 18.928004380753;47.031397673561, 18.270531556193
F30;Gy23B;46.803526155586, 18.928004380753;46.810132410668, 17.83695083105
F30;Gy23J;46.803526155586, 18.928004380753;46.881273600414, 17.985593118956
F30;Gy24B;46.803526155586, 18.928004380753;46.682081838166, 17.370049702348
F30;Gy24J;46.803526155586, 18.928004380753;46.685347295949, 17.387656451782
F30;Gy25J;46.803526155586, 18.928004380753;46.441965611122, 16.811198315858
F30;Gy26B;46.803526155586, 18.928004380753;46.908495716101, 18.939777323335
F30;Gy26J;46.803526155586, 18.928004380753;46.908565366842, 18.939424208168
F30;Gy27J;46.803526155586, 18.928004380753;46.351813245779, 18.886396647804
F30;Gy28B;46.803526155586, 18.928004380753;47.246161, 18.649078
F30;Gy28J;46.803526155586, 18.928004380753;47.246194, 18.648449
F30;Gy29B;46.803526155586, 18.928004380753;47.690797, 17.522883
F30;Gy2B;46.803526155586, 18.928004380753;47.612770144674, 18.353556331481
F30;Gy2J;46.803526155586, 18.928004380753;47.683114431378, 18.003415637292
F30;Gy30B;46.803526155586, 18.928004380753;47.615748, 19.346989
F30;Gy31J;46.803526155586, 18.928004380753;47.671580, 19.634506
F30;Gy32B;46.803526155586, 18.928004380753;47.361165, 19.219698
F30;Gy32J;46.803526155586, 18.928004380753;47.362003, 19.222118
F30;Gy34B;46.803526155586, 18.928004380753;47.9170992883, 17.1225847247
F30;Gy34J;46.803526155586, 18.928004380753;47.9105799674, 17.1336359154
F30;Gy35J;46.803526155586, 18.928004380753;46.2154648690, 20.7062448209
F30;Gy36B;46.803526155586, 18.928004380753;46.5109208466, 16.5523413490
F30;Gy36J;46.803526155586, 18.928004380753;46.5110973558, 16.5519989224
F30;Gy3B;46.803526155586, 18.928004380753;47.684437713539, 17.835527389107
F30;Gy4B;46.803526155586, 18.928004380753;47.878391089477, 17.202565947927
F30;Gy6J;46.803526155586, 18.928004380753;47.593511108609, 19.210992980928
F30;Gy7B;46.803526155586, 18.928004380753;47.731817779639, 19.96258985111
F30;Gy7J;46.803526155586, 18.928004380753;47.732635548066, 19.949321966416
F30;Gy8B;46.803526155586, 18.928004380753;47.848589776483, 21.067835868077
F30;Gy8J;46.803526155586, 18.928004380753;47.861450724727, 21.043855642447
F30;Gy9B;46.803526155586, 18.928004380753;47.902948731815, 21.569037024339
F31;F13;46.263345770897, 19.533663359931;47.683196594979, 18.097306861786
F31;F14;46.263345770897, 19.533663359931;47.745363022052, 17.647400881226
F31;F15;46.263345770897, 19.533663359931;48.031849194332, 19.807710583946
F31;F19;46.263345770897, 19.533663359931;47.913879672699, 21.073258954162
F31;F22;46.263345770897, 19.533663359931;48.089160008212, 22.27659217874
F31;F25;46.263345770897, 19.533663359931;46.876397341333, 20.022332770319
F31;F26;46.263345770897, 19.533663359931;46.655024556317,21.225962687052
F31;F27B;46.263345770897, 19.533663359931;46.379079490009, 20.248264839326
F31;F27J;46.263345770897, 19.533663359931;46.378973739396, 20.247963372239
F31;F30;46.263345770897, 19.533663359931;46.803526155586, 18.928004380753
F31;F31;46.263345770897, 19.533663359931;46.263345770897, 19.533663359931
F31;F32;46.263345770897, 19.533663359931;46.201513590529, 18.820681199919
F31;F33;46.263345770897, 19.533663359931;45.971233620929, 18.673734618994
F31;F34;46.263345770897, 19.533663359931;45.8784138959, 18.236275560019
F31;F43;46.263345770897, 19.533663359931;46.683815901125, 20.183667378285
F31;F45BJ;46.263345770897, 19.533663359931;47.11432337191, 17.848645761646
F31;F48;46.263345770897, 19.533663359931;48.0530521654, 19.0114679159
F31;F54;46.263345770897, 19.533663359931;47.3000376989, 21.5558389074
F31;F55;46.263345770897, 19.533663359931;47.3981145129, 19.3601850460
F31;F58;46.263345770897, 19.533663359931;47.348734, 19.120951
F31;F59;46.263345770897, 19.533663359931;47.142844, 18.531573
F31;F6;46.263345770897, 19.533663359931;47.152434273387, 20.196192733715
F31;F8;46.263345770897, 19.533663359931;46.231269471029, 20.081542735727
F31;Gy10B;46.263345770897, 19.533663359931;48.050402819184, 20.851648270691
F31;Gy10J;46.263345770897, 19.533663359931;48.048597304585, 20.852645963515
F31;Gy11J;46.263345770897, 19.533663359931;47.61860051674, 21.517389377156
F31;Gy12B;46.263345770897, 19.533663359931;46.28526689547, 20.25356092992
F31;Gy13B;46.263345770897, 19.533663359931;47.310577659191, 19.2720015943
F31;Gy13J;46.263345770897, 19.533663359931;47.310726596496, 19.271736511801
F31;Gy14B;46.263345770897, 19.533663359931;47.018953622415, 19.59270077956
F31;Gy14J;46.263345770897, 19.533663359931;47.018760105536, 19.59289269823
F31;Gy15B;46.263345770897, 19.533663359931;46.866126652938, 19.645370179317
F31;Gy15J;46.263345770897, 19.533663359931;46.866126652938, 19.645370179317
F31;Gy16B;46.263345770897, 19.533663359931;46.254056752729, 20.037780560567
F31;Gy16J;46.263345770897, 19.533663359931;46.254289780273, 20.037809455218
F31;Gy17B;46.263345770897, 19.533663359931;47.354805101314, 18.903312087371
F31;Gy18B;46.263345770897, 19.533663359931;47.062438439262, 18.883476038175
F31;Gy19B;46.263345770897, 19.533663359931;46.445983362048, 18.706391141658
F31;Gy19J;46.263345770897, 19.533663359931;46.445546354166, 18.706516762083
F31;Gy1J;46.263345770897, 19.533663359931;47.471964836026, 18.858080126141
F31;Gy20B;46.263345770897, 19.533663359931;46.063865148399, 18.579774412582
F31;Gy20J;46.263345770897, 19.533663359931;46.063700607621, 18.579535592077
F31;Gy21J;46.263345770897, 19.533663359931;47.343748133722, 18.791711071512
F31;Gy22J;46.263345770897, 19.533663359931;47.031397673561, 18.270531556193
F31;Gy25J;46.263345770897, 19.533663359931;46.441965611122, 16.811198315858
F31;Gy26B;46.263345770897, 19.533663359931;46.908495716101, 18.939777323335
F31;Gy26J;46.263345770897, 19.533663359931;46.908565366842, 18.939424208168
F31;Gy27J;46.263345770897, 19.533663359931;46.351813245779, 18.886396647804
F31;Gy28B;46.263345770897, 19.533663359931;47.246161, 18.649078
F31;Gy29B;46.263345770897, 19.533663359931;47.690797, 17.522883
F31;Gy2J;46.263345770897, 19.533663359931;47.683114431378, 18.003415637292
F31;Gy30B;46.263345770897, 19.533663359931;47.615748, 19.346989
F31;Gy32B;46.263345770897, 19.533663359931;47.361165, 19.219698
F31;Gy32J;46.263345770897, 19.533663359931;47.362003, 19.222118
F31;Gy34J;46.263345770897, 19.533663359931;47.9105799674, 17.1336359154
F31;Gy35B;46.263345770897, 19.533663359931;46.2165172448, 20.7363822270
F31;Gy36J;46.263345770897, 19.533663359931;46.5110973558, 16.5519989224
F31;Gy37J;46.263345770897, 19.533663359931;47.643, 19.1646
F31;Gy3J;46.263345770897, 19.533663359931;47.6844259551, 17.83587320896
F31;Gy4B;46.263345770897, 19.533663359931;47.878391089477, 17.202565947927
F31;Gy7B;46.263345770897, 19.533663359931;47.731817779639, 19.96258985111
F31;Gy7J;46.263345770897, 19.533663359931;47.732635548066, 19.949321966416
F31;Gy8B;46.263345770897, 19.533663359931;47.848589776483, 21.067835868077
F31;Gy9B;46.263345770897, 19.533663359931;47.902948731815, 21.569037024339
F32;F10;46.201513590529, 18.820681199919;46.437667890627, 16.747927021544
F32;F11;46.201513590529, 18.820681199919;46.974156304231, 16.379539316509
F32;F13;46.201513590529, 18.820681199919;47.683196594979, 18.097306861786
F32;F16;46.201513590529, 18.820681199919;48.25793719325, 20.350423487823
F32;F2;46.201513590529, 18.820681199919;47.725765423977, 18.046694497329
F32;F21;46.201513590529, 18.820681199919;48.066597247215, 21.53206912197
F32;F22;46.201513590529, 18.820681199919;48.089160008212, 22.27659217874
F32;F23;46.201513590529, 18.820681199919;47.144221988453, 21.675450249618
F32;F24;46.201513590529, 18.820681199919;46.167056244213, 20.627359497593
F32;F25;46.201513590529, 18.820681199919;46.876397341333, 20.022332770319
F32;F26;46.201513590529, 18.820681199919;46.655024556317,21.225962687052
F32;F27B;46.201513590529, 18.820681199919;46.379079490009, 20.248264839326
F32;F27J;46.201513590529, 18.820681199919;46.378973739396, 20.247963372239
F32;F29;46.201513590529, 18.820681199919;47.857086975049, 22.637265932974
F32;F30;46.201513590529, 18.820681199919;46.803526155586, 18.928004380753
F32;F31;46.201513590529, 18.820681199919;46.263345770897, 19.533663359931
F32;F32;46.201513590529, 18.820681199919;46.201513590529, 18.820681199919
F32;F33;46.201513590529, 18.820681199919;45.971233620929, 18.673734618994
F32;F34;46.201513590529, 18.820681199919;45.8784138959, 18.236275560019
F32;F35;46.201513590529, 18.820681199919;46.058445164555, 17.448098903741
F32;F36;46.201513590529, 18.820681199919;46.702458506694, 16.788524126318
F32;F37;46.201513590529, 18.820681199919;47.635056880418, 16.652330516763
F32;F38;46.201513590529, 18.820681199919;46.811901582638, 16.565857119342
F32;F39;46.201513590529, 18.820681199919;47.288863417887, 16.610039047667
F32;F40;46.201513590529, 18.820681199919;47.245496499058, 16.534248410882
F32;F42;46.201513590529, 18.820681199919;46.195044659138, 20.448144697766
F32;F43;46.201513590529, 18.820681199919;46.683815901125, 20.183667378285
F32;F45BJ;46.201513590529, 18.820681199919;47.11432337191, 17.848645761646
F32;F46J;46.201513590529, 18.820681199919;47.653506839605, 17.416740354468
F32;F47J;46.201513590529, 18.820681199919;47.297002459483, 16.831835285078
F32;F54;46.201513590529, 18.820681199919;47.3000376989, 21.5558389074
F32;F55;46.201513590529, 18.820681199919;47.3981145129, 19.3601850460
F32;F58;46.201513590529, 18.820681199919;47.348734, 19.120951
F32;F59;46.201513590529, 18.820681199919;47.142844, 18.531573
F32;F6;46.201513590529, 18.820681199919;47.152434273387, 20.196192733715
F32;F7;46.201513590529, 18.820681199919;48.343852343168, 22.129595653448
F32;F8;46.201513590529, 18.820681199919;46.231269471029, 20.081542735727
F32;F9;46.201513590529, 18.820681199919;45.967191886124, 17.524083222114
F32;Gy10B;46.201513590529, 18.820681199919;48.050402819184, 20.851648270691
F32;Gy10J;46.201513590529, 18.820681199919;48.048597304585, 20.852645963515
F32;Gy11B;46.201513590529, 18.820681199919;47.618814282026, 21.517286368554
F32;Gy11J;46.201513590529, 18.820681199919;47.61860051674, 21.517389377156
F32;Gy12B;46.201513590529, 18.820681199919;46.28526689547, 20.25356092992
F32;Gy13B;46.201513590529, 18.820681199919;47.310577659191, 19.2720015943
F32;Gy14B;46.201513590529, 18.820681199919;47.018953622415, 19.59270077956
F32;Gy14J;46.201513590529, 18.820681199919;47.018760105536, 19.59289269823
F32;Gy15B;46.201513590529, 18.820681199919;46.866126652938, 19.645370179317
F32;Gy15J;46.201513590529, 18.820681199919;46.866126652938, 19.645370179317
F32;Gy16B;46.201513590529, 18.820681199919;46.254056752729, 20.037780560567
F32;Gy16J;46.201513590529, 18.820681199919;46.254289780273, 20.037809455218
F32;Gy17B;46.201513590529, 18.820681199919;47.354805101314, 18.903312087371
F32;Gy17J;46.201513590529, 18.820681199919;47.354584280523, 18.903248756673
F32;Gy18B;46.201513590529, 18.820681199919;47.062438439262, 18.883476038175
F32;Gy19B;46.201513590529, 18.820681199919;46.445983362048, 18.706391141658
F32;Gy19J;46.201513590529, 18.820681199919;46.445546354166, 18.706516762083
F32;Gy20B;46.201513590529, 18.820681199919;46.063865148399, 18.579774412582
F32;Gy20J;46.201513590529, 18.820681199919;46.063700607621, 18.579535592077
F32;Gy21B;46.201513590529, 18.820681199919;47.423027828361, 18.886551751725
F32;Gy21J;46.201513590529, 18.820681199919;47.343748133722, 18.791711071512
F32;Gy22B;46.201513590529, 18.820681199919;47.031256467729, 18.270258885827
F32;Gy22J;46.201513590529, 18.820681199919;47.031397673561, 18.270531556193
F32;Gy23B;46.201513590529, 18.820681199919;46.810132410668, 17.83695083105
F32;Gy23J;46.201513590529, 18.820681199919;46.881273600414, 17.985593118956
F32;Gy24B;46.201513590529, 18.820681199919;46.682081838166, 17.370049702348
F32;Gy24J;46.201513590529, 18.820681199919;46.685347295949, 17.387656451782
F32;Gy25J;46.201513590529, 18.820681199919;46.441965611122, 16.811198315858
F32;Gy26B;46.201513590529, 18.820681199919;46.908495716101, 18.939777323335
F32;Gy26J;46.201513590529, 18.820681199919;46.908565366842, 18.939424208168
F32;Gy27J;46.201513590529, 18.820681199919;46.351813245779, 18.886396647804
F32;Gy28B;46.201513590529, 18.820681199919;47.246161, 18.649078
F32;Gy29B;46.201513590529, 18.820681199919;47.690797, 17.522883
F32;Gy2J;46.201513590529, 18.820681199919;47.683114431378, 18.003415637292
F32;Gy30B;46.201513590529, 18.820681199919;47.615748, 19.346989
F32;Gy31B;46.201513590529, 18.820681199919;47.671580, 19.634506
F32;Gy31J;46.201513590529, 18.820681199919;47.671580, 19.634506
F32;Gy32B;46.201513590529, 18.820681199919;47.361165, 19.219698
F32;Gy32J;46.201513590529, 18.820681199919;47.362003, 19.222118
F32;Gy34J;46.201513590529, 18.820681199919;47.9105799674, 17.1336359154
F32;Gy35J;46.201513590529, 18.820681199919;46.2154648690, 20.7062448209
F32;Gy36J;46.201513590529, 18.820681199919;46.5110973558, 16.5519989224
F32;Gy37B;46.201513590529, 18.820681199919;47.6932, 19.1723
F32;Gy3B;46.201513590529, 18.820681199919;47.684437713539, 17.835527389107
F32;Gy3J;46.201513590529, 18.820681199919;47.6844259551, 17.83587320896
F32;Gy4B;46.201513590529, 18.820681199919;47.878391089477, 17.202565947927
F32;Gy7B;46.201513590529, 18.820681199919;47.731817779639, 19.96258985111
F32;Gy7J;46.201513590529, 18.820681199919;47.732635548066, 19.949321966416
F32;Gy8J;46.201513590529, 18.820681199919;47.861450724727, 21.043855642447
F32;Gy9B;46.201513590529, 18.820681199919;47.902948731815, 21.569037024339
F32;Gy9J;46.201513590529, 18.820681199919;47.899315872821, 21.548572633098
F33;F11;45.971233620929, 18.673734618994;46.974156304231, 16.379539316509
F33;F14;45.971233620929, 18.673734618994;47.745363022052, 17.647400881226
F33;F3;45.971233620929, 18.673734618994;47.884396938888, 17.241676802774
F33;F30;45.971233620929, 18.673734618994;46.803526155586, 18.928004380753
F33;F31;45.971233620929, 18.673734618994;46.263345770897, 19.533663359931
F33;F32;45.971233620929, 18.673734618994;46.201513590529, 18.820681199919
F33;F33;45.971233620929, 18.673734618994;45.971233620929, 18.673734618994
F33;F34;45.971233620929, 18.673734618994;45.8784138959, 18.236275560019
F33;F35;45.971233620929, 18.673734618994;46.058445164555, 17.448098903741
F33;F36;45.971233620929, 18.673734618994;46.702458506694, 16.788524126318
F33;F38;45.971233620929, 18.673734618994;46.811901582638, 16.565857119342
F33;F39;45.971233620929, 18.673734618994;47.288863417887, 16.610039047667
F33;F45BJ;45.971233620929, 18.673734618994;47.11432337191, 17.848645761646
F33;F46J;45.971233620929, 18.673734618994;47.653506839605, 17.416740354468
F33;F47B;45.971233620929, 18.673734618994;47.297160417543, 16.832093255331
F33;F47J;45.971233620929, 18.673734618994;47.297002459483, 16.831835285078
F33;F59;45.971233620929, 18.673734618994;47.142844, 18.531573
F33;F9;45.971233620929, 18.673734618994;45.967191886124, 17.524083222114
F33;Gy12B;45.971233620929, 18.673734618994;46.28526689547, 20.25356092992
F33;Gy14B;45.971233620929, 18.673734618994;47.018953622415, 19.59270077956
F33;Gy16B;45.971233620929, 18.673734618994;46.254056752729, 20.037780560567
F33;Gy17B;45.971233620929, 18.673734618994;47.354805101314, 18.903312087371
F33;Gy18B;45.971233620929, 18.673734618994;47.062438439262, 18.883476038175
F33;Gy19B;45.971233620929, 18.673734618994;46.445983362048, 18.706391141658
F33;Gy1J;45.971233620929, 18.673734618994;47.471964836026, 18.858080126141
F33;Gy20B;45.971233620929, 18.673734618994;46.063865148399, 18.579774412582
F33;Gy20J;45.971233620929, 18.673734618994;46.063700607621, 18.579535592077
F33;Gy22B;45.971233620929, 18.673734618994;47.031256467729, 18.270258885827
F33;Gy23B;45.971233620929, 18.673734618994;46.810132410668, 17.83695083105
F33;Gy23J;45.971233620929, 18.673734618994;46.881273600414, 17.985593118956
F33;Gy24B;45.971233620929, 18.673734618994;46.682081838166, 17.370049702348
F33;Gy24J;45.971233620929, 18.673734618994;46.685347295949, 17.387656451782
F33;Gy25B;45.971233620929, 18.673734618994;46.44171667261, 16.810656899812
F33;Gy25J;45.971233620929, 18.673734618994;46.441965611122, 16.811198315858
F33;Gy26J;45.971233620929, 18.673734618994;46.908565366842, 18.939424208168
F33;Gy27J;45.971233620929, 18.673734618994;46.351813245779, 18.886396647804
F33;Gy28B;45.971233620929, 18.673734618994;47.246161, 18.649078
F33;Gy29B;45.971233620929, 18.673734618994;47.690797, 17.522883
F33;Gy31J;45.971233620929, 18.673734618994;47.671580, 19.634506
F33;Gy34J;45.971233620929, 18.673734618994;47.9105799674, 17.1336359154
F33;Gy36B;45.971233620929, 18.673734618994;46.5109208466, 16.5523413490
F33;Gy36J;45.971233620929, 18.673734618994;46.5110973558, 16.5519989224
F33;Gy3J;45.971233620929, 18.673734618994;47.6844259551, 17.83587320896
F34;F10;45.8784138959, 18.236275560019;46.437667890627, 16.747927021544
F34;F13;45.8784138959, 18.236275560019;47.683196594979, 18.097306861786
F34;F14;45.8784138959, 18.236275560019;47.745363022052, 17.647400881226
F34;F30;45.8784138959, 18.236275560019;46.803526155586, 18.928004380753
F34;F32;45.8784138959, 18.236275560019;46.201513590529, 18.820681199919
F34;F33;45.8784138959, 18.236275560019;45.971233620929, 18.673734618994
F34;F34;45.8784138959, 18.236275560019;45.8784138959, 18.236275560019
F34;F35;45.8784138959, 18.236275560019;46.058445164555, 17.448098903741
F34;F36;45.8784138959, 18.236275560019;46.702458506694, 16.788524126318
F34;F38;45.8784138959, 18.236275560019;46.811901582638, 16.565857119342
F34;F39;45.8784138959, 18.236275560019;47.288863417887, 16.610039047667
F34;F45BJ;45.8784138959, 18.236275560019;47.11432337191, 17.848645761646
F34;F46B;45.8784138959, 18.236275560019;47.653403571486, 17.416396700878
F34;F47B;45.8784138959, 18.236275560019;47.297160417543, 16.832093255331
F34;F47J;45.8784138959, 18.236275560019;47.297002459483, 16.831835285078
F34;F59;45.8784138959, 18.236275560019;47.142844, 18.531573
F34;F6;45.8784138959, 18.236275560019;47.152434273387, 20.196192733715
F34;F9;45.8784138959, 18.236275560019;45.967191886124, 17.524083222114
F34;Gy15B;45.8784138959, 18.236275560019;46.866126652938, 19.645370179317
F34;Gy16B;45.8784138959, 18.236275560019;46.254056752729, 20.037780560567
F34;Gy17B;45.8784138959, 18.236275560019;47.354805101314, 18.903312087371
F34;Gy18B;45.8784138959, 18.236275560019;47.062438439262, 18.883476038175
F34;Gy19B;45.8784138959, 18.236275560019;46.445983362048, 18.706391141658
F34;Gy19J;45.8784138959, 18.236275560019;46.445546354166, 18.706516762083
F34;Gy20B;45.8784138959, 18.236275560019;46.063865148399, 18.579774412582
F34;Gy20J;45.8784138959, 18.236275560019;46.063700607621, 18.579535592077
F34;Gy21B;45.8784138959, 18.236275560019;47.423027828361, 18.886551751725
F34;Gy22B;45.8784138959, 18.236275560019;47.031256467729, 18.270258885827
F34;Gy23B;45.8784138959, 18.236275560019;46.810132410668, 17.83695083105
F34;Gy23J;45.8784138959, 18.236275560019;46.881273600414, 17.985593118956
F34;Gy24B;45.8784138959, 18.236275560019;46.682081838166, 17.370049702348
F34;Gy24J;45.8784138959, 18.236275560019;46.685347295949, 17.387656451782
F34;Gy25B;45.8784138959, 18.236275560019;46.44171667261, 16.810656899812
F34;Gy25J;45.8784138959, 18.236275560019;46.441965611122, 16.811198315858
F34;Gy26B;45.8784138959, 18.236275560019;46.908495716101, 18.939777323335
F34;Gy26J;45.8784138959, 18.236275560019;46.908565366842, 18.939424208168
F34;Gy27J;45.8784138959, 18.236275560019;46.351813245779, 18.886396647804
F34;Gy28B;45.8784138959, 18.236275560019;47.246161, 18.649078
F34;Gy2B;45.8784138959, 18.236275560019;47.612770144674, 18.353556331481
F34;Gy34B;45.8784138959, 18.236275560019;47.9170992883, 17.1225847247
F34;Gy34J;45.8784138959, 18.236275560019;47.9105799674, 17.1336359154
F34;Gy36B;45.8784138959, 18.236275560019;46.5109208466, 16.5523413490
F34;Gy36J;45.8784138959, 18.236275560019;46.5110973558, 16.5519989224
F34;Gy3B;45.8784138959, 18.236275560019;47.684437713539, 17.835527389107
F35;F10;46.058445164555, 17.448098903741;46.437667890627, 16.747927021544
F35;F11;46.058445164555, 17.448098903741;46.974156304231, 16.379539316509
F35;F13;46.058445164555, 17.448098903741;47.683196594979, 18.097306861786
F35;F2;46.058445164555, 17.448098903741;47.725765423977, 18.046694497329
F35;F30;46.058445164555, 17.448098903741;46.803526155586, 18.928004380753
F35;F32;46.058445164555, 17.448098903741;46.201513590529, 18.820681199919
F35;F33;46.058445164555, 17.448098903741;45.971233620929, 18.673734618994
F35;F34;46.058445164555, 17.448098903741;45.8784138959, 18.236275560019
F35;F35;46.058445164555, 17.448098903741;46.058445164555, 17.448098903741
F35;F36;46.058445164555, 17.448098903741;46.702458506694, 16.788524126318
F35;F37;46.058445164555, 17.448098903741;47.635056880418, 16.652330516763
F35;F38;46.058445164555, 17.448098903741;46.811901582638, 16.565857119342
F35;F39;46.058445164555, 17.448098903741;47.288863417887, 16.610039047667
F35;F40;46.058445164555, 17.448098903741;47.245496499058, 16.534248410882
F35;F45BJ;46.058445164555, 17.448098903741;47.11432337191, 17.848645761646
F35;F46B;46.058445164555, 17.448098903741;47.653403571486, 17.416396700878
F35;F46J;46.058445164555, 17.448098903741;47.653506839605, 17.416740354468
F35;F47B;46.058445164555, 17.448098903741;47.297160417543, 16.832093255331
F35;F47J;46.058445164555, 17.448098903741;47.297002459483, 16.831835285078
F35;F57;46.058445164555, 17.448098903741;47.2476159053, 16.4811625856
F35;F59;46.058445164555, 17.448098903741;47.142844, 18.531573
F35;F9;46.058445164555, 17.448098903741;45.967191886124, 17.524083222114
F35;Gy17B;46.058445164555, 17.448098903741;47.354805101314, 18.903312087371
F35;Gy18B;46.058445164555, 17.448098903741;47.062438439262, 18.883476038175
F35;Gy19B;46.058445164555, 17.448098903741;46.445983362048, 18.706391141658
F35;Gy1B;46.058445164555, 17.448098903741;47.474802619374, 18.852435494437
F35;Gy20B;46.058445164555, 17.448098903741;46.063865148399, 18.579774412582
F35;Gy20J;46.058445164555, 17.448098903741;46.063700607621, 18.579535592077
F35;Gy21B;46.058445164555, 17.448098903741;47.423027828361, 18.886551751725
F35;Gy22B;46.058445164555, 17.448098903741;47.031256467729, 18.270258885827
F35;Gy22J;46.058445164555, 17.448098903741;47.031397673561, 18.270531556193
F35;Gy23B;46.058445164555, 17.448098903741;46.810132410668, 17.83695083105
F35;Gy23J;46.058445164555, 17.448098903741;46.881273600414, 17.985593118956
F35;Gy24B;46.058445164555, 17.448098903741;46.682081838166, 17.370049702348
F35;Gy24J;46.058445164555, 17.448098903741;46.685347295949, 17.387656451782
F35;Gy25B;46.058445164555, 17.448098903741;46.44171667261, 16.810656899812
F35;Gy25J;46.058445164555, 17.448098903741;46.441965611122, 16.811198315858
F35;Gy26J;46.058445164555, 17.448098903741;46.908565366842, 18.939424208168
F35;Gy27J;46.058445164555, 17.448098903741;46.351813245779, 18.886396647804
F35;Gy28B;46.058445164555, 17.448098903741;47.246161, 18.649078
F35;Gy29B;46.058445164555, 17.448098903741;47.690797, 17.522883
F35;Gy32J;46.058445164555, 17.448098903741;47.362003, 19.222118
F35;Gy34B;46.058445164555, 17.448098903741;47.9170992883, 17.1225847247
F35;Gy34J;46.058445164555, 17.448098903741;47.9105799674, 17.1336359154
F35;Gy36B;46.058445164555, 17.448098903741;46.5109208466, 16.5523413490
F35;Gy36J;46.058445164555, 17.448098903741;46.5110973558, 16.5519989224
F35;Gy3B;46.058445164555, 17.448098903741;47.684437713539, 17.835527389107
